County,Public Water Supply,Population Served,Sampling Date,Sample Number,Raw Water or Treated Drinking Water?,PFOA + PFOS (ppt),Total Tested PFAS (ppt),Method
OAKLAND,Southwest Oakland Township,6128,06/11/2018,GW1806111225EDK,Raw Water,ND,ND,EPA 537 Rev. 1.1
KALAMAZOO,Kalamazoo,196292,06/15/2018,GWEF1806151030KER,Treated Drinking Water,2,6,EPA 537 Rev. 1.1
KALAMAZOO,Kalamazoo,196292,06/15/2018,GWEF1806151245KER,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
KALAMAZOO,Kalamazoo,196292,06/15/2018,GWEF1806151440,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
KALAMAZOO,Kalamazoo,196292,06/15/2018,GWEF1806151120KER,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
KALAMAZOO,Kalamazoo,196292,06/15/2018,GWEF1806151510KER,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
KALAMAZOO,Kalamazoo,196292,06/15/2018,GWEF1806151300KER,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
OAKLAND,Southwest Oakland Township,6128,06/11/2018,GW1806111125EDK,Raw Water,ND,ND,EPA 537 Rev. 1.1
OAKLAND,Southeast Oakland Township,2298,06/11/2018,GW1806111025EDK,Raw Water,ND,ND,EPA 537 Rev. 1.1
KALAMAZOO,Kalamazoo,196292,06/15/2018,GWEF1806151455KER,Treated Drinking Water,ND,2,EPA 537 Rev. 1.1
OAKLAND,Southeast Oakland Township,2298,06/11/2018,GW1806111105EDK,Raw Water,ND,ND,EPA 537 Rev. 1.1
OAKLAND,Southwest Oakland Township,6128,06/11/2018,GW1806111200EDK,Raw Water,ND,ND,EPA 537 Rev. 1.1
OAKLAND,Southwest Oakland Township,6128,06/11/2018,GW1806111145EDK,Raw Water,ND,ND,EPA 537 Rev. 1.1
OAKLAND,Chateau View Apartments,75,06/08/2018,GW1806081145EDK,Raw Water,ND,ND,EPA 537 Rev. 1.1
OAKLAND,Waterford Township,73441,06/06/2018,GW1806061530EDK,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
OAKLAND,Highland Greens Estates,2268,06/05/2018,GW1806051320EDK,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
OAKLAND,Briarcliff Homeowners Assn,483,06/13/2018,GW1806130905EDK,Raw Water,ND,ND,EPA 537 Rev. 1.1
OAKLAND,Lake Angela Condo Apts #3,24,06/12/2018,GW1806121220EDK,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
OAKLAND,Oxford Township,10753,06/11/2018,GW1806111255EDK,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
ALLEGAN,Country Acres Mobile Home Park,160,06/06/2018,GW1806061420KER,Raw Water,ND,ND,EPA 537 Rev. 1.1
OAKLAND,Oxford Township,10753,06/11/2018,GW1806111310EDK,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
KALAMAZOO,Charleston Township,30,06/13/2018,GWEF1806131415KER,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
ALLEGAN,Country Meadows,158,06/12/2018,GWT1806121325GSC,Raw Water,ND,ND,EPA 537 Rev. 1.1
OAKLAND,Groveland Manor,465,06/08/2018,GW1806081135EDK,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
OAKLAND,Villa at Green Lake Estates,86,06/12/2018,GW1806121040EDK,Raw Water,ND,ND,EPA 537 Rev. 1.1
OAKLAND,Deerwood Subdivision,1946,06/04/2018,GW1806041250EDK,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
ALLEGAN,Lakeside Park MHP,65,06/13/2018,GWINT1806131115KET,Raw Water,ND,ND,EPA 537 Rev. 1.1
ALLEGAN,Sandy Pines,85,06/06/2018,GW1806061210KER,Raw Water,ND,ND,EPA 537 Rev. 1.1
ALLEGAN,Indian Acres Mobile Home Park,88,06/12/2018,GWT1806121010KER,Raw Water,ND,ND,EPA 537 Rev. 1.1
KALAMAZOO,Vicksburg,2906,06/19/2018,GWNT1806191300KER,Raw Water,ND,ND,EPA 537 Rev. 1.1
OAKLAND,Waterford Township,73441,06/06/2018,GW1806061340EDK,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
ALLEGAN,Riverwalk Development,38,06/06/2018,GW1806061255KER,Raw Water,ND,ND,EPA 537 Rev. 1.1
KALAMAZOO,Vicksburg,2906,06/19/2018,GWNT1806191245KER,Raw Water,ND,ND,EPA 537 Rev. 1.1
ALLEGAN,Dogwood Manor Mobile Home Park,190,06/05/2018,GW1806051120GSC,Raw Water,ND,ND,EPA 537 Rev. 1.1
OAKLAND,Oakland Hunt Subdivision,461,06/11/2018,GW1806110915EDK,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
KALAMAZOO,Royal Estates,380,06/18/2018,GWNT1806181305KER,Raw Water,ND,3,EPA 537 Rev. 1.1
ALLEGAN,Walnut Lane Apartments,50,06/13/2018,GWR1806130820KER,Raw Water,ND,ND,EPA 537 Rev. 1.1
KALAMAZOO,Climax Mobile Home Park,198,06/14/2018,GWT1806141355GSC,Raw Water,ND,ND,EPA 537 Rev. 1.1
OAKLAND,Lake Angela Condo Apts #6,24,06/12/2018,GW1806121140EDK,Raw Water,ND,ND,EPA 537 Rev. 1.1
BARRY,Barry's Resort,125,06/13/2018,GWT1806131520GSC,Raw Water,ND,ND,EPA 537 Rev. 1.1
ALLEGAN,Riverside Estates,100,06/05/2018,GW1806051035GSC,Raw Water,ND,ND,EPA 537 Rev. 1.1
KENT,Caledonia Township,3563,05/31/2018,GW1805311500GSC,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
OAKLAND,Hidden Lake Estates,673,06/18/2018,GW1806181020EDK,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
KALAMAZOO,Portage Terrace,202,06/12/2018,GWEF1806121405KER,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
ALLEGAN,Oak Lane Apartments,60,06/13/2018,GWR1806131025KER,Raw Water,ND,ND,EPA 537 Rev. 1.1
ALLEGAN,Riverside Estates,100,06/05/2018,GW1806051040GSC,Raw Water,ND,ND,EPA 537 Rev. 1.1
OAKLAND,"Oxford, Village of",3540,06/18/2018,GW1806181000EDK,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
OAKLAND,Ridge Valley of Milford,220,06/18/2018,GW1806180755EDK,Raw Water,ND,ND,EPA 537 Rev. 1.1
OAKLAND,Laguna Vista Subdivision,640,06/15/2018,GW1806151000EDK,Raw Water,ND,ND,EPA 537 Rev. 1.1
OAKLAND,Waterford Township,73441,06/06/2018,GW1806061415EDK,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
KENT,Key Heights Mobile Village,715,06/01/2018,GW1806011030EDK,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
OAKLAND,Waterford Township,73441,06/06/2018,GW1806061550EDK,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
CALHOUN,Hickory Hills,708,06/22/2018,GWEF1806220900KER,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
KALAMAZOO,Royal Estates,380,06/18/2018,GWNT1806181315KER,Raw Water,ND,ND,EPA 537 Rev. 1.1
BARRY,Guernsey Lake Mobile Home,100,06/12/2018,GWT1806121130GSC,Raw Water,ND,8,EPA 537 Rev. 1.1
KALAMAZOO,Augusta,885,06/13/2018,GWEF1806131435KER,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
OAKLAND,Waterford Township,73441,06/06/2018,GW1806061400EDK,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
OAKLAND,Sunnydale Gardens Subdivision,190,06/12/2018,GW1806120930EDK,Raw Water,ND,ND,EPA 537 Rev. 1.1
OAKLAND,Oxford Township,10753,06/11/2018,GW1806111320EDK,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
KENT,Plainfield Township,40891,05/30/2018,GW1805301040GSC,Treated Drinking Water,8,22,EPA 537 Rev. 1.1
BARRY,Woodland Park Apartments,16,06/12/2018,GWR1806121110KER,Raw Water,ND,ND,EPA 537 Rev. 1.1
OAKLAND,Waterford Township,73441,06/06/2018,GW1806061450EDK,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
KALAMAZOO,Kellogg Biological Station,100,06/19/2018,GWEF1806191100KER,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
OAKLAND,Highland Greens Estates,2268,06/05/2018,GW180651315EDK,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
OAKLAND,Lyon Township,9390,06/12/2018,GW1806121240EDK,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
ALLEGAN,Homecrest Villa Mobile Home Park,100,06/05/2018,GW1806051320GSC,Raw Water,ND,ND,EPA 537 Rev. 1.1
KALAMAZOO,Evergreen Park,190,06/18/2018,GWNT1806180900KER,Raw Water,ND,ND,EPA 537 Rev. 1.1
KALAMAZOO,Schoolcraft,1525,06/18/2018,GWEF1806180950KER,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
OAKLAND,Franklin Knolls Subdivision,500,06/13/2018,GW1806130945EDK,Raw Water,ND,ND,EPA 537 Rev. 1.1
OAKLAND,Holly Hills MHC,435,06/08/2018,GW1806081015EDK,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
BARRY,Baltimore Terrace,155,06/13/2018,GWR1806131100GSC,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
KALAMAZOO,Sun Meadows Apartments,98,06/12/2018,GWNT1806121440KER,Raw Water,ND,ND,EPA 537 Rev. 1.1
ALLEGAN,Glennwoods Subdivision,77,06/08/2018,GW1806081115KER,Raw Water,ND,ND,EPA 537 Rev. 1.1
OAKLAND,Lake Angela Condo Apts #5,24,06/12/2018,GW1806121155EDK,Raw Water,ND,ND,EPA 537 Rev. 1.1
OAKLAND,Twin Lakes Subdivision,563,06/11/2018,GW1806110830EDK,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
OAKLAND,Waterford Township,73441,06/06/2018,GW1806061510EDK,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
OAKLAND,Lyon Township,9390,06/12/2018,GW1806121305EDK,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
OAKLAND,Rose Hill Center,70,06/08/2018,GW1806080935EDK,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
ALLEGAN,Sapphire Estates Mobile Home Park,138,06/13/2018,GW1806130920KER,Raw Water,ND,ND,EPA 537 Rev. 1.1
OAKLAND,Cass Lakeside Subdivision,700,06/05/2018,GW1806050950EDK,Raw Water,ND,ND,EPA 537 Rev. 1.1
OAKLAND,Waterford Township,73441,06/06/2018,GW1806061351EDK,Treated Drinking Water,ND,4,EPA 537 Rev. 1.1
ALLEGAN,Lakeside Park MHP,65,06/13/2018,GWINT1806131110KER,Raw Water,ND,ND,EPA 537 Rev. 1.1
OAKLAND,"Milford, Village of",6366,06/14/2018,GW1806141530EDK,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
KALAMAZOO,Nazarene Camp,610,06/19/2018,GWEF1806191345KER,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
OAKLAND,Highland Haven/Woodside Apts,40,06/18/2018,GW1806180815EDK,Raw Water,ND,ND,EPA 537 Rev. 1.1
OAKLAND,Wynstone Subdivision,736,06/11/2018,GW1806110900EDK,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
OAKLAND,Deerwood Subdivision,1946,06/04/2018,GW1806041235EDK,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
OAKLAND,Waterford Township,73441,06/06/2018,GW1806061420EDK,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
OAKLAND,Deerwood Subdivision,1946,06/04/2018,GW1806041305EDK,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
OAKLAND,Highland Haven/Woodside Apts,40,06/18/2018,GW1806180830EDK,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
BARRY,Barry's Resort,125,06/13/2018,GWT1806131535GSC,Raw Water,ND,ND,EPA 537 Rev. 1.1
OAKLAND,Waterford Township,73441,06/06/2018,GW1806061610EDK,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
ALLEGAN,Topaz Mobile Home Park,115,06/13/2018,GWEF1806130945KER,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
OAKLAND,Lake Angela Condo Apts #4,24,06/12/2018,GW1806121205EDK,Raw Water,ND,ND,EPA 537 Rev. 1.1
ALLEGAN,Walnut Lane Apartments,50,06/13/2018,GW41806130815KER,Raw Water,ND,ND,EPA 537 Rev. 1.1
OAKLAND,Plum Creek Sub,134,06/11/2018,GW1806110935EDK,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
KENT,Caledonia Township,3563,05/31/2018,GW1805311445GSC,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
KALAMAZOO,Climax,767,06/13/2018,GWEF1806131320KER,Treated Drinking Water,ND,2,EPA 537 Rev. 1.1
OAKLAND,Long Lake Village Subdivision,67,06/08/2018,GW180681105EDK,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
OAKLAND,Waterford Township,73441,06/06/2018,GW1806061325EDK,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
KALAMAZOO,Andrews Estates,178,06/18/2018,GWNT1806181130KER,Raw Water,ND,ND,EPA 537 Rev. 1.1
KENT,Glenwood Estates,585,06/11/2018,GWR1806110910KER,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
KENT,Lake Bella Vista,3444,04/17/2018,GW1804170930GSC,Treated Drinking Water,2,2,EPA 537 Rev. 1.1
OAKLAND,Lakeshore Hilltop Apartments,82,06/20/2018,GW1806201115EDK,Raw Water,ND,ND,EPA 537 Rev. 1.1
ALLEGAN,Rabbit River Estates,255,06/07/2018,GW1806071400KER,Raw Water,ND,ND,EPA 537 Rev. 1.1
OAKLAND,Woodbine Subdivision,448,06/06/2018,GW180606935EDK,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
ALLEGAN,Shady Acres Mobile Village,130,06/05/2018,GW1806051530KER,Raw Water,ND,ND,EPA 537 Rev. 1.1
ALLEGAN,Hunters Glen,700,06/13/2018,GWEF1806130845KER,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
BARRY,Gun Lake Mobile Home Community,148,06/13/2018,GWEF1806130900GSC,Raw Water,ND,ND,EPA 537 Rev. 1.1
KENT,Algoma Estates,580,04/19/2018,GW1804191100CKA,Treated Drinking Water,2,5,EPA 537 Rev. 1.1
OAKLAND,Penny Lake Estates Subdivision,390,06/15/2018,GW1806151015EDK,Raw Water,ND,ND,EPA 537 Rev. 1.1
OAKLAND,Brookdale Apartments,100,06/15/2018,GW18061511110EDK,Raw Water,ND,ND,EPA 537 Rev. 1.1
KENT,Oaks of Rockford,80,04/19/2018,GW1804191120CKA,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
OAKLAND,Lakeshore Hilltop Apartments,82,06/20/2018,GW1806201145EDK,Raw Water,ND,ND,EPA 537 Rev. 1.1
KENT,Caledonia Estates,160,05/31/2018,GW1805311330EDK,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
ALLEGAN,Rabbit River Estates,255,06/07/2018,GW1806071420KER,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
OAKLAND,West Hickory Haven,100,06/07/2018,GW1806071155EDK,Raw Water,ND,ND,EPA 537 Rev. 1.1
EATON,"Bellevue, Village of",1282,06/21/2018,GWEF1806211300KER,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
OAKLAND,Lakeview Chalet Condominiums,50,06/07/2018,GW1806071105EDK,Raw Water,ND,ND,EPA 537 Rev. 1.1
OAKLAND,Oak Hill Estates MHC,1260,06/08/2018,GW1806081035EDK,Raw Water,ND,ND,EPA 537 Rev. 1.1
KENT,Sand Lake,492,04/16/2018,GW1804161110JNR,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
KENT,Summerset Meadows,100,04/17/2018,GW1804171125GSC,Raw Water,ND,ND,EPA 537 Rev. 1.1
ALLEGAN,Oak Haven,30,06/06/2018,GW1806061020KET,Raw Water,ND,ND,EPA 537 Rev. 1.1
KENT,Lakeside Mobile Home Community,168,06/01/2018,GW1806011125GSC,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
KENT,Kent City Mobile Home Park,185,04/18/2018,GW1804180950CKA,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
OAKLAND,Highland Township,3472,06/14/2018,GW1806141305EDK,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
KENT,Tillicum Farms,216,04/17/2018,GW1804171110GSC,Raw Water,ND,ND,EPA 537 Rev. 1.1
OAKLAND,Lakeside Apartments,30,06/13/2018,GW1806131015EDK,Raw Water,ND,ND,EPA 537 Rev. 1.1
OAKLAND,Meadow Lake Estates MHC,1060,06/18/2018,GW1806180845,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
KENT,Parkwood Green,270,04/18/2018,GW1804181415CKA,Raw Water,3,5,EPA 537 Rev. 1.1
ALLEGAN,Johnsons Mobile Village,188,06/08/2018,GW1806080920KER,Raw Water,ND,ND,EPA 537 Rev. 1.1
OAKLAND,Sue Kay Apartments,50,06/05/2018,GW180605900EDK,Raw Water,ND,ND,EPA 537 Rev. 1.1
KENT,White Creek Country Estates,443,04/16/2018,GW1804161020JNR,Raw Water,ND,ND,EPA 537 Rev. 1.1
CALHOUN,Homer,1668,06/26/2018,GWEF1806260950GSC,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
ALLEGAN,Johnsons Mobile Village,188,06/08/2018,GW1806080930KER,Raw Water,ND,ND,EPA 537 Rev. 1.1
KENT,Wellers Trailer Park,52,05/31/2018,GW1805311100EDK,Raw Water,ND,ND,EPA 537 Rev. 1.1
KENT,Gregg Apartments,64,05/31/2018,GW1805311520GSC,Raw Water,ND,ND,EPA 537 Rev. 1.1
ALLEGAN,Glenn Haven Shores,72,06/08/2018,GW1806081330KER,Raw Water,ND,ND,EPA 537 Rev. 1.1
KENT,Parkwood Green,270,04/18/2018,GW1804181430CKA,Raw Water,ND,ND,EPA 537 Rev. 1.1
OAKLAND,Highland Township,3472,06/14/2018,GW1806141145EDK,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
OAKLAND,Twin Lakes Subdivision,563,06/11/2018,GW1806110835EDK-FD,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
OAKLAND,Manitou Lake Apartments,75,06/20/2018,GWNT1806201330EDK,Raw Water,ND,ND,EPA 537 Rev. 1.1
KENT,Lincoln Pines,390,05/30/2018,GW1805301245GSC,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
KENT,Lincoln Pines,390,05/30/2018,GW1805301255GSC,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
KENT,Lowell,3890,04/19/2018,GW1804190905CKA,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
ALLEGAN,Selkirk Lake Mobile Home Park,62,06/13/2018,GWT1806131050KER,Raw Water,ND,ND,EPA 537 Rev. 1.1
KENT,Apple Grove Estates,125,05/29/2018,GW1805291305EDK,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
KENT,Rockford,6517,04/16/2018,GW1804161320GSC,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
CALHOUN,Marshall,7088,06/20/2018,GWEF1806201045KER,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
KENT,Lincoln Pines,390,05/30/2018,GW1805301205GSC,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
KENT,Grand Valley Estates,288,06/05/2018,GW1806050900GSC,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
KENT,Saddle Ridge Condo Assoc.,156,04/17/2018,GW1804171425GSC,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
OAKLAND,Lakeshore Hilltop Apartments,82,06/20/2018,GW1806201125EDK,Raw Water,ND,ND,EPA 537 Rev. 1.1
KENT,Kent Ridge Apartments,120,04/18/2018,GW1804180915CKA,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
KENT,Green Acres Mobile Home Park,135,06/11/2018,GWEF1806111120KER,Raw Water,ND,ND,EPA 537 Rev. 1.1
OAKLAND,Highland Township,3472,06/14/2018,GW1806141250EDK,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
ALLEGAN,Riverview Mobile Home Park,125,06/06/2018,GW1806061505KER,Raw Water,ND,3,EPA 537 Rev. 1.1
KENT,Key Heights Mobile Village,715,06/01/2018,GW1806011000EDK-FD,Treated Drinking Water,ND,2,EPA 537 Rev. 1.1
OAKLAND,North Shore Apartments,20,06/07/2018,GW1806071125EDK,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
OAKLAND,White Eagle Subdivision,58,06/14/2018,GW1806141120EDK,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
BARRY,Gun Lake Mobile Home Community,148,06/13/2018,GWEF1806130920GSC,Raw Water,ND,ND,EPA 537 Rev. 1.1
OAKLAND,Highland Township,3472,06/14/2018,GW1806141225EDK,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
ALLEGAN,"Pine Ridge Community, Inc.",122,06/05/2018,GW1806051515KER,Raw Water,ND,ND,EPA 537 Rev. 1.1
KENT,La-E-Ma Mobile Home Park,72,04/19/2018,GW1804191320CKA,Raw Water,ND,ND,EPA 537 Rev. 1.1
KENT,Cedar Springs,3520,05/29/2018,GW1805291400EDK,Raw Water,ND,ND,EPA 537 Rev. 1.1
OAKLAND,Independence Township,11790,06/04/2018,GW1806041015EDK-FD,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
OAKLAND,Colombiere Center,60,06/19/2018,GW1806191250EDK,Raw Water,ND,ND,EPA 537 Rev. 1.1
OAKLAND,Hillview Estates Subdivision,371,06/04/2018,GW1806041205EDK,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
OAKLAND,Highland Hills of Highland MHC,260,06/19/2018,GWEF1806190840EDK,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
OAKLAND,Cranberry Lake MHC,820,06/18/2018,GW1806180910,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
KENT,Parkwood Green,270,04/18/2018,GW1804181425CKA,Raw Water,ND,ND,EPA 537 Rev. 1.1
ALLEGAN,Maple Grove Estates,115,06/07/2018,GW1806071340KER,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
OAKLAND,Highland Township,3472,06/14/2018,GW1806141230EDK-FD,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
BARRY,Thornapple Lake Estates,538,06/13/2018,GWT1806131340GSC,Raw Water,ND,ND,EPA 537 Rev. 1.1
OAKLAND,Counrty Estates MHP,600,06/15/2018,GWEF1806151215EDK,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
KENT,Woodland Estates,268,04/16/2018,GW1804161400GSC,Raw Water,ND,6,EPA 537 Rev. 1.1
OAKLAND,Bavarian Softwater Village,420,06/14/2018,GW1806141405EDK,Raw Water,ND,ND,EPA 537 Rev. 1.1
ALLEGAN,Oak Haven,30,06/06/2018,GW1806061030KER,Raw Water,ND,ND,EPA 537 Rev. 1.1
OAKLAND,Lakeshore Hilltop Apartments,82,06/20/2018,GW1806201135EDK,Raw Water,ND,ND,EPA 537 Rev. 1.1
ALLEGAN,Shangrai-La Village,165,06/12/2018,GWEF1806120850GSC,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
KENT,Cedarfield Mobile Home Park,480,05/29/2018,GW1805291500EDK,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
BARRY,Thornapple Manor,328,06/13/2018,GWEF1806131300GSC,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
