COUNTY NAME,WSSN,System Name,"Sample
Site Code",Sample Date,Vista or Merit  Order Number,AECOM Sample ID,Method,Results Received by DEQ ,PFBS,PFHxA,PFHpA,PFHxS,PFOA,PFNA,PFOS,PFDA,MeFOSAA,EtFOSAA,PFUnA,PFDoA,PFTrDA,PFTeDA,PFOA + PFOS,Calculated Total PFAS,,,,,,,,,,,,,,,,,,,,
BRANCH,01510,LAKELAND CORRECTIONAL FACILITY,TP001,10/1/18,S95225.01,GWIN1810011100GGA,EPA 537,11/7/18,2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2,,,,,,,,,,,,,,,,,,,,
CALHOUN,00100,ALBION,TP011,6/20/18,1801472-01,GWEF1806201000KET,EPA 537,7/27/18,2,4,ND,14,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,20,,,,,,,,,,,,,,,,,,,,
CALHOUN,00260,ATHENS,TP023,6/22/18,1801511-01,GWEF1806220940KER,EPA 537,8/16/18,ND,ND,ND,3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,3,,,,,,,,,,,,,,,,,,,,
CALHOUN,00260,ATHENS,TP023-FD,6/22/18,1801511-02,GWEF1806220945KER-FD,EPA 537,8/16/18,ND,ND,ND,2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2,,,,,,,,,,,,,,,,,,,,
CALHOUN,2018813,CALHOUN INTERM. SCHOOL DIST.,,6/25/18,1801555-01,GWEF1806251310RAP,EPA 537,8/1/18,10,3,ND,7,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,20,,,,,,,,,,,,,,,,,,,,
CALHOUN,2018813,CALHOUN INTERM. SCHOOL DIST.,,8/6/18,1802291-01,GWEF1808061620MK,EPA 537,9/4/18,9,3,ND,5,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,17,,,,,,,,,,,,,,,,,,,,
CALHOUN,2038413,KIDS TIME DAY CARE CENTER,001,11/30/18,1803941-01,GWNT1811301330KME,EPA 537,12/21/18,13,5,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,18,,,,,,,,,,,,,,,,,,,,
CALHOUN,2038413,KIDS TIME DAY CARE CENTER,,1/4/19,1900062-01,GWNT1901041045KME,EPA 537,1/25/19,12,5,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,17,,,,,,,,,,,,,,,,,,,,
CALHOUN,2043813,The Learning Zone,001,11/30/18,1803942-01,GWEF1811301405KME,EPA 537,12/21/18,5,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,5,,,,,,,,,,,,,,,,,,,,
CASS,40093,C & M MOBILE HOME COURT,CH001,10/4/18,S95247.01,GWNT1810041100GGA,EPA 537,11/8/18,ND,ND,ND,ND,2,ND,ND,ND,ND,ND,ND,ND,ND,ND,2,2,,,,,,,,,,,,,,,,,,,,
CASS,2007914,EAGLE LAKE ELEM SCHOOL,,7/26/18,1802071-02,GWNT1807261120GGA,EPA 537,8/10/18,ND,ND,ND,ND,ND,ND,ND,ND,7,ND,ND,ND,ND,ND,ND,7,,,,,,,,,,,,,,,,,,,,
CHARLEVOIX,2017215,BOYNE FALLS PUBLIC SCHOOL,30,9/4/18,1802960-01,GWNT1809041030GGA,EPA 537,10/12/18,ND,ND,ND,ND,3,ND,4,ND,30,4,ND,ND,ND,ND,7,41,,,,,,,,,,,,,,,,,,,,
CHARLEVOIX,06880,WALLOON LAKE WATER SYSTEM,TP101,8/29/18,1802815-01,GWEF1808291400GGA,EPA 537,10/19/18,ND,2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2,,,,,,,,,,,,,,,,,,,,
CHARLEVOIX,06880,WALLOON LAKE WATER SYSTEM,TP102,8/29/18,1802815-02,GWEF1808291500GGA,EPA 537,10/19/18,14,5,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,19,,,,,,,,,,,,,,,,,,,,
CHIPPEWA,03630,KINROSS TOWNSHIP,CH001,9/12/18,1803062-01,GWIN1809121400GGA,EPA 537,10/24/18,ND,4,ND,40,6,ND,ND,ND,ND,ND,ND,ND,ND,ND,6,50,,,,,,,,,,,,,,,,,,,,
CHIPPEWA,2031017,SOO TWP. SCHOOL,344,9/11/18,1803059-01,GWNT1809120930GGA,EPA 537,10/23/18,ND,4,ND,ND,3,2,ND,ND,ND,ND,ND,ND,ND,ND,3,9,,,,,,,,,,,,,,,,,,,,
CLARE,01420,"CLARE, CITY OF",TP004,11/12/18,S96901.01,GWEF1811120900GGA,EPA 537,1/24/19,3,ND,ND,10,ND,ND,4,ND,ND,ND,ND,ND,ND,ND,4,17,,,,,,,,,,,,,,,,,,,,
CLARE,2027618,MMCAA Harrison Preschool,001,12/6/18,1804057-01,GWNT1812061340GGA,EPA 537,12/31/18,10,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,10,,,,,,,,,,,,,,,,,,,,
CRAWFORD,02840,"GRAYLING, CITY OF",TP102,11/6/18,S96656.02,GWEF1811061130GGA,EPA 537,1/22/19,ND,ND,ND,3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,3,,,,,,,,,,,,,,,,,,,,
DICKINSON,03400,IRON MOUNTAIN,CH001,8/22/18,1802778.02,GWIN1808221340GSC,EPA 537,10/25/18,ND,ND,ND,2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2,,,,,,,,,,,,,,,,,,,,
DICKINSON,03640,KINGSFORD,CH007,8/22/18,1802777-02,GWNT1808221215GSC,EPA 537,10/25/18,ND,ND,ND,3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,3,,,,,,,,,,,,,,,,,,,,
DICKINSON,40516,WHITE BIRCH MOBILE HOME VILLAGE,CH001,8/22/18,1802779-01,GWNT1808221440GSC,EPA 537,10/25/18,2,ND,ND,ND,2,ND,2,ND,ND,ND,ND,ND,ND,ND,4,6,,,,,,,,,,,,,,,,,,,,
EATON,02025,EATON GREEN ESTATES SUBDIVISION,CH001,6/27/18,1801558-01,GWNT1806270940GSC,EPA 537,8/16/18,2,3,ND,ND,3,ND,N,ND,ND,ND,ND,ND,ND,ND,3,8,,,,,,,,,,,,,,,,,,,,
EATON,40122,HI-WAY MOBILE HAVEN,TP001,6/27/18,1801562-01,GWIN1806271415GSC,EPA 537,8/16/18,ND,ND,ND,ND,ND,ND,3,ND,ND,ND,ND,ND,ND,ND,3,3,,,,,,,,,,,,,,,,,,,,
GENESEE,40138,GUNTHER MOBILE HOME COURT INC,WL005,8/9/18,1802386-03,GWNT1808091030GSC,EPA 537,8/31/18,ND,ND,ND,ND,2,ND,ND,ND,ND,ND,ND,ND,ND,ND,2,2,,,,,,,,,,,,,,,,,,,,
GRAND TRAVERSE,40176,SILVER SHORES MOBILE HOME PARK,TP100,9/20/18,S94700.01,GWEF1809201200GGA,EPA 537,10/26/18,2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2,,,,,,,,,,,,,,,,,,,,
HILLSDALE,03170,HILLSDALE,TP001,8/27/18,1802788-01,GWEF1808271130GSC,EPA 537,10/15/18,2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2,,,,,,,,,,,,,,,,,,,,
HOUGHTON,03230,HOUGHTON,TP004,7/31/18,1802164-01,GWEF1807311100GGA,EPA 537,8/30/18,3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,3,,,,,,,,,,,,,,,,,,,,
IONIA,2008634,EIGHT CAP IONIA CO. OUTREACH,26,7/12/18,1801741-01,GWNT1807121200GGA,EPA 537,8/1/18,180,2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,182,,,,,,,,,,,,,,,,,,,,
IONIA,2008634,EIGHT CAP IONIA CO. OUTREACH,,8/3/18,1802268-01,GWNT1808031550JTM,EPA 537,9/4/18,200,3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,203,,,,,,,,,,,,,,,,,,,,
IONIA,40206,EVERGREEN MOBILE HOME COMMUNITY,TP100,9/27/18,S94976.01,GWEF1809271400KER,EPA 537,10/19/18,ND,15,3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,18,,,,,,,,,,,,,,,,,,,,
IONIA,40206,EVERGREEN MOBILE HOME COMMUNITY,TP101,9/27/18,S94976.02,GWEF1809271430KER,EPA 537,10/19/18,ND,3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,3,,,,,,,,,,,,,,,,,,,,
IONIA,2023134,FAITH COMMUNITY CHRISTIAN SCH.,56,9/28/18,S94978.01,GWEF1809281020KER,EPA 537,11/5/18,2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2,,,,,,,,,,,,,,,,,,,,
IONIA,2023134,FAITH COMMUNITY CHRISTIAN SCH.,FIELD DUPLICATE,9/28/18,S94978.04,GWEF1809281030KER-FD,EPA 537,11/5/18,2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2,,,,,,,,,,,,,,,,,,,,
IONIA,40209,LONG LAKE MOBILE HOME ESTATES,WL001,9/28/18,S94979.01,GWNT1809281110KER,EPA 537,11/5/18,4,3,ND,2,4,ND,2,ND,ND,ND,ND,ND,ND,ND,6,15,,,,,,,,,,,,,,,,,,,,
IONIA,40209,LONG LAKE MOBILE HOME ESTATES,WL002,9/28/18,S94979.02,GWNT1809281120KER,EPA 537,11/5/18,4,3,ND,2,4,ND,2,ND,ND,ND,ND,ND,ND,ND,6,15,,,,,,,,,,,,,,,,,,,,
IONIA,05530,PORTLAND,TP105,9/25/18,S94963.01,GWNT1809251245KER,EPA 537,11/1/18,ND,ND,ND,ND,ND,ND,4,ND,ND,ND,ND,ND,ND,ND,4,4,,,,,,,,,,,,,,,,,,,,
IOSCO,40213,WHISPERING WOODS-WHITE PINE RIDGE OSCOD,CH001,11/15/18,S96923.01,GWNT1811151100GGA,EPA 537,1/25/19,ND,ND,ND,14,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,14,,,,,,,,,,,,,,,,,,,,
IOSCO,2021235,WHITTEMORE/PRESCOTT SCHOOL COMPLEX,Well 4,11/8/18,S96643.01,GWNT1811080825KME,EPA 537,1/24/19,2,15,6,4,6,ND,ND,ND,ND,ND,ND,ND,ND,ND,6,33,,,,,,,,,,,,,,,,,,,,
IOSCO,2021235,WHITTEMORE/PRESCOTT SCHOOL COMPLEX,Well 5,11/8/18,S96643.02,GWNT1811080830KME,EPA 537,1/24/19,ND,10,4,2,4,ND,ND,ND,ND,ND,ND,ND,ND,ND,4,20,,,,,,,,,,,,,,,,,,,,
IOSCO,2021235,WHITTEMORE/PRESCOTT SCHOOL COMPLEX,Well 6,11/8/18,S96643.03,GWNT1811080840KME,EPA 537,1/24/19,ND,14,6,3,4,ND,ND,ND,ND,ND,ND,ND,ND,ND,4,27,,,,,,,,,,,,,,,,,,,,
ISABELLA,06725,UNION TOWNSHIP,TP009,10/18/18,S95836.02,GWEF1810181030KME,EPA 537,11/26/18,3,3,ND,6,3,ND,3,ND,ND,ND,ND,ND,ND,ND,6,18,,,,,,,,,,,,,,,,,,,,
JACKSON,2061638,ABC ACADEMY #2,001,12/4/18,1803995-01,GWIN1812040940KER,EPA 537,12/27/18,3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,3,,,,,,,,,,,,,,,,,,,,
JACKSON,01580,CONCORD,TP001,7/24/18,1802076-01,GWEF1807241000KER,EPA 537,8/24/18,3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,3,,,,,,,,,,,,,,,,,,,,
JACKSON,2082338,EARLY IMPRESSIONS,001,12/3/18,1803918-01,GWEF1812031300KER,EPA 537,12/26/18,6,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,6,,,,,,,,,,,,,,,,,,,,
JACKSON,06250,SPRINGPORT,TP002 WL003,7/17/18,1801871-01,GWIN1807171300KER,EPA 537,8/23/18,ND,ND,ND,3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,3,,,,,,,,,,,,,,,,,,,,
KALAMAZOO,2004739,Chapman Memorial Church,001,11/29/18,1803937-01,GWNT1811291525KME,EPA 537,12/21/18,9,ND,ND,5,15,ND,15,ND,ND,ND,ND,ND,ND,ND,30,44,,,,,,,,,,,,,,,,,,,,
KALAMAZOO,2004739,Chapman Memorial Church,,1/4/19,1900061-01,GWNT1901040955KME,EPA 537,1/25/19,9,ND,ND,5,15,ND,14,ND,ND,ND,ND,ND,ND,ND,29,43,,,,,,,,,,,,,,,,,,,,
KALAMAZOO,01465,CLIMAX,TP123,6/13/18,1801320-01,GWEF1806131320KER,EPA 537,7/16/18,ND,2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2,,,,,,,,,,,,,,,,,,,,
KALAMAZOO,2017839,Gull Lake Schools-40th St Early Learning Ctr,50,6/19/18,1801459-01,GWNT1806191000KER,EPA 537,7/27/18,ND,3,ND,ND,3,ND,4,ND,ND,ND,ND,ND,ND,ND,7,10,,,,,,,,,,,,,,,,,,,,
KALAMAZOO,2017839,Gull Lake Schools-40th St Early Learning Ctr,,8/17/18,1802621-01,GWNT1808171100GGA,EPA 537,9/25/18,ND,4,2,ND,4,ND,5,ND,ND,ND,ND,ND,ND,ND,9,15,,,,,,,,,,,,,,,,,,,,
KALAMAZOO,03520,KALAMAZOO,TP303,6/15/18,1801412-01,GWEF1806151525KER,EPA 537,7/27/18,3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,3,,,,,,,,,,,,,,,,,,,,
KALAMAZOO,03520,KALAMAZOO,TP305,6/15/18,1801397-01,GWEF1806151030KER,EPA 537,7/27/18,4,ND,ND,ND,2,ND,ND,ND,ND,ND,ND,ND,ND,ND,2,6,,,,,,,,,,,,,,,,,,,,
KALAMAZOO,03520,KALAMAZOO,TP308,6/15/18,1801410-01,GWEF1806151455KER,EPA 537,7/27/18,ND,2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2,,,,,,,,,,,,,,,,,,,,
KALAMAZOO,03520,KALAMAZOO,TP311,6/15/18,1801403-01,GWEF1806151230KER,EPA 537,7/27/18,7,10,2,32,3,ND,15,ND,ND,ND,ND,ND,ND,ND,18,69,,,,,,,,,,,,,,,,,,,,
KALAMAZOO,03520,KALAMAZOO,TP312,6/15/18,1801402-01,GWEF1806151215KER,EPA 537,7/27/18,7,12,3,31,5,ND,14,ND,ND,ND,ND,ND,ND,ND,19,72,,,,,,,,,,,,,,,,,,,,
KALAMAZOO,05200,PARCHMENT,TP001,6/18/18,1801392-01,GWEF1806181400KER,EPA 537,7/27/18,7,49,96,19,670,6,740,ND,ND,13,ND,ND,ND,ND,1410,"1,600",,,,,,,,,,,,,,,,,,,,
KALAMAZOO,05200,PARCHMENT,WL002,7/26/18,1802006-03,GWIN1807261720GGA,EPA 537,7/30/18,12,79,150,40,780,8,740,ND,ND,19,ND,ND,ND,ND,1520,"1,828",,,,,,,,,,,,,,,,,,,,
KALAMAZOO,05200,PARCHMENT,WL003,7/26/18,1802006-04,GWIN1807261730GGA,EPA 537,7/30/18,ND,12,20,5,140,ND,94,ND,ND,ND,ND,ND,ND,ND,234,271,,,,,,,,,,,,,,,,,,,,
KALAMAZOO,05200,PARCHMENT ,TP001,6/18/18,1801392-01,GWEF1806181400KER,EPA 537,7/31/18,6,48,87,22,600,5,510,ND,ND,12,ND,ND,ND,ND,1110,"1,290",,,,,,,,,,,,,,,,,,,,
KALAMAZOO,05200,PARCHMENT ,TP001,7/26/18,1802006-01,GWEF1807261700GGA,EPA 537,7/30/18,ND,15,26,6,170,ND,110,ND,ND,ND,ND,ND,ND,ND,280,327,,,,,,,,,,,,,,,,,,,,
KALAMAZOO,05200,PARCHMENT ,WL001,7/26/18,1802006-02,GWIN1807261710GGA,EPA 537,7/30/17,8,23,28,17,220,ND,170,ND,ND,ND,ND,ND,ND,ND,390,466,,,,,,,,,,,,,,,,,,,,
KALAMAZOO,05520,PORTAGE,TP202,6/14/18,1801393-02,GWEF1806141025GSC,EPA 537,7/27/18,6,2,ND,5,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,13,,,,,,,,,,,,,,,,,,,,
KALAMAZOO,05520,PORTAGE,TP205,8/6/18,1802290-01,GWEF1808061515MK,EPA 537,9/4/18,ND,ND,ND,4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,4,,,,,,,,,,,,,,,,,,,,
KALAMAZOO,05520,PORTAGE,TP223,6/14/18,1801393-05,GWEF1806141145GSC,EPA 537,7/27/18,ND,2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2,,,,,,,,,,,,,,,,,,,,
KALAMAZOO,40255,ROYAL ESTATES,CH001,6/18/18,1801391-01,GWNT1806181305KER,EPA 537,7/27/18,3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,3,,,,,,,,,,,,,,,,,,,,
KENT,40259,ALGOMA ESTATES,TP100,4/19/18,1800722,GW1804191100CKA,EPA 537,7/16/18,3,ND,ND,ND,2,ND,ND,ND,ND,ND,ND,ND,ND,ND,2,5,,,,,,,,,,,,,,,,,,,,
KENT,2002741,ALTO ELEMENTARY SCHOOL,540,5/31/18,1801098-01,GW1805311035GSC,EPA 537,7/10/18,2,ND,ND,21,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,23,,,,,,,,,,,,,,,,,,,,
KENT,2002741,ALTO ELEMENTARY SCHOOL,,8/6/18,1802282-01,GWEF1808061140MK,EPA 537,9/4/18,2,ND,ND,15,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,17,,,,,,,,,,,,,,,,,,,,
KENT,2030041,CANNONSBURG ELEMENTARY SCHOOL,219,7/31/18,1802181-01,GWNT1807310900KER,EPA 537,9/7/18,ND,ND,ND,ND,6,ND,ND,ND,ND,ND,ND,ND,ND,ND,6,6,,,,,,,,,,,,,,,,,,,,
KENT,40276,KEY HEIGHTS MOBILE VILLAGE [Field Dup],TP100,6/1/18,1801202-02,GW1806011000EDK-FD,EPA 537,7/13/2018,2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2,,,,,,,,,,,,,,,,,,,,
KENT,03695,LAKE BELLA VISTA,TP200,4/17/18,1800717,GW1804170930GSC,EPA 537,7/16/18,ND,ND,ND,ND,2,ND,ND,ND,ND,ND,ND,ND,ND,ND,2,2,,,,,,,,,,,,,,,,,,,,
KENT,40284,PARKWOOD GREEN,WL001,4/18/18,1800817-01,GW1804181415CKA,EPA 537,7/16/18,2,ND,ND,ND,3,ND,ND,ND,ND,ND,ND,ND,ND,ND,3,5,,,,,,,,,,,,,,,,,,,,
KENT,40285,PINE AIRE MOBILE HOME PARK,CH001,5/30/18,1801092-01,GW1805300855GSC,EPA 537,7/10/2018,5,ND,ND,3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,8,,,,,,,,,,,,,,,,,,,,
KENT,05370,PLAINFIELD TOWNSHIP,TP100,5/30/18,1801094-01,GW1805301040GSC,EPA 537,7/10/2018,3,5,4,2,4,ND,4,ND,ND,ND,ND,ND,ND,ND,8,22,,,,,,,,,,,,,,,,,,,,
KENT,2087341,ROCKFORD EAST MIDDLE SCHOOL,,7/31/18,1802179-01,GWEF1807310900KER,EPA 537,9/7/18,ND,ND,ND,ND,ND,ND,ND,ND,15,ND,ND,ND,ND,ND,ND,15,,,,,,,,,,,,,,,,,,,,
KENT,40291,SPRING VALLEY MOBILE HOME PARK,WL002,4/17/18,1800804-02,GW1804171535CKA,EPA 537,7/16/18,7,ND,ND,2,3,ND,ND,ND,ND,ND,ND,ND,ND,ND,3,12,,,,,,,,,,,,,,,,,,,,
KENT,40291,SPRING VALLEY MOBILE HOME PARK,WL003,4/17/18,1800804-01,GW1804171515CKA,EPA 537,7/16/18,9,4,3,4,10,ND,13,ND,ND,ND,ND,ND,ND,ND,23,43,,,,,,,,,,,,,,,,,,,,
KENT,40576,WHISPERING PINES,CH001,5/30/18,1801096-01,GW1805301435EDK,EPA 537,6/28/18,49,4,ND,5,6,ND,ND,ND,ND,ND,ND,ND,ND,ND,6,64,,,,,,,,,,,,,,,,,,,,
KENT,40296,WOODLAND ESTATES,CH002,4/16/18,1800820,GW1804161400GSC,EPA 537,7/16/18,4,2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,6,,,,,,,,,,,,,,,,,,,,
KEWEENAW,02590,SHERMAN TOWNSHIP,CH001,7/30/18,1802159-01,GWEF1807301230GGA,EPA 537,8/30/18,ND,ND,ND,2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2,,,,,,,,,,,,,,,,,,,,
LAKE,00350,"BALDWIN, VILLAGE OF",WL003,9/18/18,S94667.01,GWNT1809190910KER,EPA 537,10/29/18,ND,4,2,ND,4,ND,ND,ND,ND,ND,ND,ND,ND,ND,4,10,,,,,,,,,,,,,,,,,,,,
LAKE,2013043,Five Cap Inc (RFW),,1/3/19,1900057-01,GWNT1901030955KME,EPA 537,1/24/19,4,26,23,15,34,ND,3,ND,ND,ND,ND,ND,ND,ND,37,105,,,,,,,,,,,,,,,,,,,,
LAKE,2013043,FIVECAP INC - (RFW),001,12/5/18,1803959-01,GWNT1812051015KME,EPA 537,12/26/18,4,25,23,13,36,ND,3,ND,ND,ND,ND,ND,ND,ND,39,104,,,,,,,,,,,,,,,,,,,,
LEELANAU,2001945,LELAND PUBLIC SCHOOL DISTRICT 2,600,9/5/18,1802953-01,GWIN1809051110KER,EPA 537,10/8/18,3,23,9,29,7,ND,ND,ND,ND,ND,ND,ND,ND,ND,7,71,,,,,,,,,,,,,,,,,,,,
LEELANAU,2001945,LELAND PUBLIC SCHOOL DISTRICT 2,,10/15/18,1803355-01,GWIN1810151325MK,EPA 537,10/24/18,3,19,8,26,8,ND,ND,ND,ND,ND,ND,ND,ND,ND,8,64,,,,,,,,,,,,,,,,,,,,
LEELANAU,04810,"NORTHPORT, VILLAGE OF",TP102,9/5/18,1802954-02,GWEF1809051245KER,EPA 537,10/9/18,ND,9,3,4,4,ND,ND,ND,ND,ND,ND,ND,ND,ND,4,20,,,,,,,,,,,,,,,,,,,,
LEELANAU,04810,"NORTHPORT, VILLAGE OF",TP104,9/5/18,1802954-01,GWEF1809051230KER,EPA 537,10/9/18,ND,4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,4,,,,,,,,,,,,,,,,,,,,
